country,cowc,cown,iso3c,iso3n,country_id
Mauritania,MAA,435,MRT,478,65
Mauritius,MAS,590,MUS,480,180
Mexico,MEX,70,MEX,484,3
Moldova,MLD,359,MDA,498,126
Monaco,MNC,221,MCO,492,NA
Mongolia,MON,712,MNG,496,89
Montenegro,MNG,341,MNE,499,183
Morocco,MOR,600,MAR,504,90
Mozambique,MZM,541,MOZ,508,57
Myanmar,MYA,775,MMR,104,10
Namibia,NAM,565,NAM,516,127
Nepal,NEP,790,NPL,524,58
Netherlands,NTH,210,NLD,528,91
New Caledonia,NA,NA,NCL,540,NA
New Zealand,NEW,920,NZL,554,185
Nicaragua,NIC,93,NIC,558,59
Niger,NIR,436,NER,562,60
Nigeria,NIG,475,NGA,566,45
North Korea,PRK,731,PRK,408,41
Northern Mariana Islands,NA,NA,MNP,580,NA
Norway,NOR,385,NOR,578,186
Oman,OMA,698,OMN,512,NA
Pakistan,PAK,770,PAK,586,29
Palau,PAL,986,PLW,585,NA
Panama,PAN,95,PAN,591,92
Papua New Guinea,PNG,910,PNG,598,93
Paraguay,PAR,150,PRY,600,189
Peru,PER,135,PER,604,30
Philippines,PHI,840,PHL,608,46
Poland,POL,290,POL,616,17
Portugal,POR,235,PRT,620,21
Puerto Rico,NA,NA,PRI,630,NA
Qatar,QAT,694,QAT,634,94
Republic of China (Taiwan),TAW,713,TWN,158,48
Romania,ROM,360,ROU,642,190
Russia,RUS,365,RUS,643,11
Rwanda,RWA,517,RWA,646,129
Samoa,WSM,990,WSM,882,NA
San Marino,SNM,331,SMR,674,NA
Saudi Arabia,SAU,670,SAU,682,197
Senegal,SEN,433,SEN,686,31
Serbia,NA,NA,SRB,688,198
Sierra Leone,SIE,451,SLE,694,95
Singapore,SIN,830,SGP,702,NA
Slovakia,SLO,317,SVK,703,201
Slovenia,SLV,349,SVN,705,202
South Africa,SAF,560,ZAF,710,8
South Korea,ROK,732,KOR,410,42
Spain,SPN,230,ESP,724,96
Sri Lanka,SRI,780,LKA,144,131
Sudan,SUD,625,SDN,736,33
Sweden,SWD,380,SWE,752,5
Switzerland,SWZ,225,CHE,756,6
Syria,SYR,652,SYR,760,97
Tajikistan,TAJ,702,TJK,762,133
Tanzania,TAZ,510,TZA,834,47
Thailand,THI,800,THA,764,49
Togo,TOG,461,TGO,768,134
Trinidad and Tobago,TRI,52,TTO,780,135
Tunisia,TUN,616,TUN,788,98
Turkey,TUR,640,TUR,792,99
Turkmenistan,TKM,701,TKM,795,136
Uganda,UGA,500,UGA,800,50
Ukraine,UKR,369,UKR,804,100
United Arab Emirates,UAE,696,ARE,784,NA
United Kingdom,UKG,200,GBR,826,101
United States,USA,2,USA,840,20
Uruguay,URU,165,URY,858,102
Uzbekistan,UZB,704,UZB,860,140
Vatican City,PAP,327,VAT,336,NA
Venezuela,VEN,101,VEN,862,51
Vietnam,DRV,816,VNM,704,34
Yemen,YEM,679,YEM,887,14
Zambia,ZAM,551,ZMB,894,61
Zimbabwe,ZIM,552,ZWE,716,62
